question_id,topic,question_text,correct_answer,label,solution_explanation,difficulty,render_as
Q024,Algebra,Solve for x: 13x + 6 = -13,x = -19/13,correct,"Given: 13x + 6 = -13. Subtract 6 from both sides: 13x = -19. So, x = $-19/13$. Simplified, x = $-19/13$.",hard,latex
Q025,Word Problems,"Sarah bought 7 pens at $8 each, and 3 erasers at $11 each. How much did Sarah spend in total?",$89,correct,Cost of pens: 7 * $8 = $56. Cost of erasers: 3 * $11 = $33. Total = $56 + $33 = $89.,hard,markdown
Q026,Geometry,A rectangle has a length of 25 units and a width of 17 units. Calculate its perimeter.,84 units,correct,"The perimeter of a rectangle is $P = 2(l + w)$. So, Perimeter = $2 \times (25 + 17) = 84$ units.",hard,markdown
Q027,Word Problems,"Lisa bought 3 notebooks at $7 each, and 4 folders at $10 each. How much did Lisa spend in total?",$61,correct,Cost of notebooks: 3 * $7 = $21. Cost of folders: 4 * $10 = $40. Total = $21 + $40 = $61.,hard,markdown
Q028,Algebra,Solve for x: 5x + 18 = 50,x = 32/5,correct,"Given: 5x + 18 = 50. Subtract 18 from both sides: 5x = 32. So, x = $32/5$. Simplified, x = $32/5$.",hard,latex
Q029,Algebra,Solve for x: 13x + 5 = 47,x = 42/13,correct,"Given: 13x + 5 = 47. Subtract 5 from both sides: 13x = 42. So, x = $42/13$. Simplified, x = $42/13$.",hard,latex
Q030,Algebra,Solve for x: 2x + 23 = -13,x = -18,correct,Given: 2x + 23 = -13. Subtract 23 from both sides: 2x = -36. Then divide by 2: x = -18.,hard,latex
Q031,Algebra,Solve for x: 2x + 12 = -40,x = -26,correct,Given: 2x + 12 = -40. Subtract 12 from both sides: 2x = -52. Then divide by 2: x = -26.,hard,latex
Q032,Algebra,Solve for x: 15x + 16 = -14,x = -2,correct,Given: 15x + 16 = -14. Subtract 16 from both sides: 15x = -30. Then divide by 15: x = -2.,hard,latex
Q033,Algebra,Solve for x: 9x + 25 = 41,x = 16/9,correct,"Given: 9x + 25 = 41. Subtract 25 from both sides: 9x = 16. So, x = $16/9$. Simplified, x = $16/9$.",hard,latex
Q034,Algebra,Solve for x: 13x + -11 = -49,x = -38/13,correct,"Given: 13x + -11 = -49. Subtract -11 from both sides: 13x = -38. So, x = $-38/13$. Simplified, x = $-38/13$.",hard,latex
Q035,Algebra,Solve for x: 13x + -18 = -24,x = -6/13,correct,"Given: 13x + -18 = -24. Subtract -18 from both sides: 13x = -6. So, x = $-6/13$. Simplified, x = $-6/13$.",hard,latex
Q036,Arithmetic,Calculate: $(15 \times 4) + (14 \div 2)$,67,correct,"First, $(15 \times 4) = 60$. Next, $(14 \div 2) = 7$. Finally, $60 + 7 = 67$.",hard,latex
Q037,Geometry,A rectangle has a length of 24 cm and a width of 7 cm. Calculate its area.,168 cm^2,correct,"The area of a rectangle is $A = l \times w$. So, Area = $24 \times 7 = 168$ cm$^2$.",hard,markdown
Q038,Algebra,Solve for x: 5x + 14 = -4,x = -18/5,correct,"Given: 5x + 14 = -4. Subtract 14 from both sides: 5x = -18. So, x = $-18/5$. Simplified, x = $-18/5$.",hard,latex
Q039,Arithmetic,Calculate: $(6 \times 7) + (24 \div 4)$,48,correct,"First, $(6 \times 7) = 42$. Next, $(24 \div 4) = 6$. Finally, $42 + 6 = 48$.",hard,latex
Q040,Geometry,Calculate the circumference of a circle with radius 15 units. (Use 'pi' in your answer),30pi units,correct,"The circumference of a circle is $C = 2 \pi r$. So, Circumference = $2 \times \pi \times 15 = 30\pi$ units.",hard,markdown
Q041,Word Problems,Tom baked 30 marbles. They gave 6 marbles to friend and then baked 9 more. How many marbles does Tom have now?,33,correct,Step 1: 30 - 6 = 24. Step 2: 24 + 9 = 33 marbles.,hard,markdown
Q042,Algebra,Solve for x: 12x + -2 = 45,x = 47/12,correct,"Given: 12x + -2 = 45. Subtract -2 from both sides: 12x = 47. So, x = $47/12$. Simplified, x = $47/12$.",hard,latex
Q043,Word Problems,Emily baked 26 marbles. They gave 13 marbles to sister and then baked 4 more. How many marbles does Emily have now?,17,correct,Step 1: 26 - 13 = 13. Step 2: 13 + 4 = 17 marbles.,hard,markdown
Q044,Geometry,Find the area of a triangle with a base of 28 inches and a height of 14 inches.,196 inches^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 28 \times 14 = 196 inches^2$.",hard,markdown
Q045,Algebra,Solve for x: x^2 + 2x - 35 = 0,x = -7 or x = 5,correct,"The equation is $x^2 - (-2)x + (-35) = 0$. Factor it as $(x - -7)(x - 5) = 0$. So, the solutions are $x = -7$ or $x = 5$.",hard,latex
Q046,Algebra,Solve for x: 15x + -10 = -17,x = -7/15,correct,"Given: 15x + -10 = -17. Subtract -10 from both sides: 15x = -7. So, x = $-7/15$. Simplified, x = $-7/15$.",hard,latex
Q047,Algebra,Solve for x: x^2 + 12x + 32 = 0,x = -8 or x = -4,correct,"The equation is $x^2 - (-12)x + (32) = 0$. Factor it as $(x - -4)(x - -8) = 0$. So, the solutions are $x = -4$ or $x = -8$.",hard,latex
Q048,Word Problems,"Lisa bought 5 pens at $2 each, and 3 erasers at $4 each. How much did Lisa spend in total?",$22,correct,Cost of pens: 5 * $2 = $10. Cost of erasers: 3 * $4 = $12. Total = $10 + $12 = $22.,hard,markdown
Q049,Arithmetic,Calculate: $(6 \times 4) + (15 \div 3)$,29,correct,"First, $(6 \times 4) = 24$. Next, $(15 \div 3) = 5$. Finally, $24 + 5 = 29$.",hard,latex
Q050,Algebra,Solve for x: 12x + 12 = 23,x = 11/12,correct,"Given: 12x + 12 = 23. Subtract 12 from both sides: 12x = 11. So, x = $11/12$. Simplified, x = $11/12$.",hard,latex
Q051,Algebra,Solve for x: 5x + -5 = 36,x = 41/5,correct,"Given: 5x + -5 = 36. Subtract -5 from both sides: 5x = 41. So, x = $41/5$. Simplified, x = $41/5$.",hard,latex
Q052,Arithmetic,Calculate: $(5 \times 6) + (33 \div 3)$,41,correct,"First, $(5 \times 6) = 30$. Next, $(33 \div 3) = 11$. Finally, $30 + 11 = 41$.",hard,latex
Q053,Algebra,Solve for x: 8x + 7 = -14,x = -21/8,correct,"Given: 8x + 7 = -14. Subtract 7 from both sides: 8x = -21. So, x = $-21/8$. Simplified, x = $-21/8$.",hard,latex
Q054,Algebra,Solve for x: x^2 - 64 = 0,x = -8 or x = 8,correct,"The equation is $x^2 - (0)x + (-64) = 0$. Factor it as $(x - 8)(x - -8) = 0$. So, the solutions are $x = 8$ or $x = -8$.",hard,latex
Q055,Geometry,A square has a side length of 18 mm. What is its area?,324 mm^2,correct,"The area of a square is given by the formula $A = s^2$. So, Area = $18^2 = 324$ mm$^2$.",medium,markdown
Q056,Word Problems,"Tom bought 6 notebooks at $5 each, and 2 folders at $8 each. How much did Tom spend in total?",$46,correct,Cost of notebooks: 6 * $5 = $30. Cost of folders: 2 * $8 = $16. Total = $30 + $16 = $46.,hard,markdown
Q057,Word Problems,"Mike bought 6 pens at $4 each, and 2 erasers at $5 each. How much did Mike spend in total?",$34,correct,Cost of pens: 6 * $4 = $24. Cost of erasers: 2 * $5 = $10. Total = $24 + $10 = $34.,hard,markdown
Q058,Arithmetic,What is $28 \div 15$? Express as a simplified fraction.,28/15,correct,$28 / 15$ simplifies to the fraction $28/15$.,hard,latex
Q059,Algebra,Solve for x: x^2 - 49 = 0,x = -7 or x = 7,correct,"The equation is $x^2 - (0)x + (-49) = 0$. Factor it as $(x - -7)(x - 7) = 0$. So, the solutions are $x = -7$ or $x = 7$.",hard,latex
Q060,Algebra,Solve for x: x^2 + 1x - 30 = 0,x = -6 or x = 5,correct,"The equation is $x^2 - (-1)x + (-30) = 0$. Factor it as $(x - -6)(x - 5) = 0$. So, the solutions are $x = -6$ or $x = 5$.",hard,latex
Q061,Algebra,Solve for x: 7x + -17 = -42,x = -25/7,correct,"Given: 7x + -17 = -42. Subtract -17 from both sides: 7x = -25. So, x = $-25/7$. Simplified, x = $-25/7$.",hard,latex
Q062,Algebra,Solve for x: 1x + 10 = -47,x = -57,correct,Given: 1x + 10 = -47. Subtract 10 from both sides: 1x = -57. Then divide by 1: x = -57.,hard,latex
Q063,Algebra,Solve for x: 2x + 3 = -30,x = -33/2,correct,"Given: 2x + 3 = -30. Subtract 3 from both sides: 2x = -33. So, x = $-33/2$. Simplified, x = $-33/2$.",hard,latex
Q064,Algebra,Solve for x: x^2 - 13x + 40 = 0,x = 5 or x = 8,correct,"The equation is $x^2 - (13)x + (40) = 0$. Factor it as $(x - 8)(x - 5) = 0$. So, the solutions are $x = 8$ or $x = 5$.",hard,latex
Q065,Algebra,Solve for x: x^2 + 11x + 28 = 0,x = -7 or x = -4,correct,"The equation is $x^2 - (-11)x + (28) = 0$. Factor it as $(x - -7)(x - -4) = 0$. So, the solutions are $x = -7$ or $x = -4$.",hard,latex
Q066,Algebra,Solve for x: x^2 + 3x - 40 = 0,x = -8 or x = 5,correct,"The equation is $x^2 - (-3)x + (-40) = 0$. Factor it as $(x - 5)(x - -8) = 0$. So, the solutions are $x = 5$ or $x = -8$.",hard,latex
Q067,Algebra,Solve for x: 1x + -20 = 18,x = 38,correct,Given: 1x + -20 = 18. Subtract -20 from both sides: 1x = 38. Then divide by 1: x = 38.,hard,latex
Q068,Algebra,Solve for x: x^2 - 64 = 0,x = -8 or x = 8,correct,"The equation is $x^2 - (0)x + (-64) = 0$. Factor it as $(x - -8)(x - 8) = 0$. So, the solutions are $x = -8$ or $x = 8$.",hard,latex
Q069,Algebra,Solve for x: 8x + -18 = 37,x = 55/8,correct,"Given: 8x + -18 = 37. Subtract -18 from both sides: 8x = 55. So, x = $55/8$. Simplified, x = $55/8$.",hard,latex
Q070,Word Problems,Emily baked 29 cookies. They gave 15 cookies to teacher and then baked 10 more. How many cookies does Emily have now?,24,correct,Step 1: 29 - 15 = 14. Step 2: 14 + 10 = 24 cookies.,hard,markdown
Q071,Word Problems,"John bought 6 pens at $5 each, and 2 erasers at $8 each. How much did John spend in total?",$46,correct,Cost of pens: 6 * $5 = $30. Cost of erasers: 2 * $8 = $16. Total = $30 + $16 = $46.,hard,markdown
Q072,Algebra,Solve for x: 13x + 5 = 26,x = 21/13,correct,"Given: 13x + 5 = 26. Subtract 5 from both sides: 13x = 21. So, x = $21/13$. Simplified, x = $21/13$.",hard,latex
Q073,Geometry,A square has a side length of 22 m. What is its area?,484 m^2,correct,"The area of a square is given by the formula $A = s^2$. So, Area = $22^2 = 484$ m$^2$.",hard,markdown
Q074,Algebra,Solve for x: 6x + -9 = -41,x = -16/3,correct,"Given: 6x + -9 = -41. Subtract -9 from both sides: 6x = -32. So, x = $-32/6$. Simplified, x = $-16/3$.",hard,latex
Q075,Word Problems,"Lisa bought 6 notebooks at $7 each, and 3 folders at $10 each. How much did Lisa spend in total?",$72,correct,Cost of notebooks: 6 * $7 = $42. Cost of folders: 3 * $10 = $30. Total = $42 + $30 = $72.,hard,markdown
Q076,Word Problems,"Sarah bought 7 notebooks at $7 each, and 3 folders at $10 each. How much did Sarah spend in total?",$79,correct,Cost of notebooks: 7 * $7 = $49. Cost of folders: 3 * $10 = $30. Total = $49 + $30 = $79.,hard,markdown
Q077,Word Problems,Tom baked 27 books. They gave 15 books to friend and then baked 8 more. How many books does Tom have now?,20,correct,Step 1: 27 - 15 = 12. Step 2: 12 + 8 = 20 books.,hard,markdown
Q078,Algebra,Solve for x: 8x + 3 = -40,x = -43/8,correct,"Given: 8x + 3 = -40. Subtract 3 from both sides: 8x = -43. So, x = $-43/8$. Simplified, x = $-43/8$.",hard,latex
Q079,Word Problems,Lisa baked 28 pencils. They gave 15 pencils to friend and then baked 6 more. How many pencils does Lisa have now?,19,correct,Step 1: 28 - 15 = 13. Step 2: 13 + 6 = 19 pencils.,hard,markdown
Q080,Arithmetic,What is 50% of 273?,136,correct,50% of 273 is $(50/100) \times 273 = 136$.,hard,markdown
Q081,Word Problems,There are 10 boxes. Each box contains 7 cookies. How many cookies are there in total?,70,correct,"To find the total, multiply: 10 * 7 = 70 cookies.",medium,markdown
Q082,Geometry,What is the volume of a cube with an edge length of 10 units?,1000 units^3,correct,"The volume of a cube is $V = s^3$. So, Volume = $10^3 = 1000$ units$^3$.",medium,markdown
Q083,Geometry,Find the area of a triangle with a base of 23 mm and a height of 11 mm.,126.5 mm^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 23 \times 11 = 126.5 mm^2$.",medium,markdown
Q084,Arithmetic,What is 50% of 189?,94.5,correct,50% of 189 is $(50/100) \times 189 = 94.5$.,medium,markdown
Q085,Algebra,Solve for x: x^2 + 2x - 8 = 0,x = -4 or x = 2,correct,"The equation is $x^2 - (-2)x + (-8) = 0$. Factor it as $(x - -4)(x - 2) = 0$. So, the solutions are $x = -4$ or $x = 2$.",easy,latex
Q086,Arithmetic,What is 75% of 221?,165,correct,75% of 221 is $(75/100) \times 221 = 165$.,medium,markdown
Q087,Word Problems,John baked 15 bananas. They gave 10 bananas to teacher and then baked 7 more. How many bananas does John have now?,12,correct,Step 1: 15 - 10 = 5. Step 2: 5 + 7 = 12 bananas.,medium,markdown
Q088,Algebra,Solve for x: 10x + 6 = -4,x = -1,correct,Given: 10x + 6 = -4. Subtract 6 from both sides: 10x = -10. Then divide by 10: x = -1.,medium,latex
Q089,Algebra,Solve for x: 2x + 5 = -13,x = -9,correct,Given: 2x + 5 = -13. Subtract 5 from both sides: 2x = -18. Then divide by 2: x = -9.,medium,latex
Q090,Word Problems,There are 7 boxes. Each box contains 10 books. How many books are there in total?,70,correct,"To find the total, multiply: 7 * 10 = 70 books.",medium,markdown
Q091,Algebra,Solve for x: x^2 - 6x - 16 = 0,x = -2 or x = 8,correct,"The equation is $x^2 - (6)x + (-16) = 0$. Factor it as $(x - 8)(x - -2) = 0$. So, the solutions are $x = 8$ or $x = -2$.",medium,latex
Q092,Algebra,Solve for x: 8x + -10 = -32,x = -11/4,correct,"Given: 8x + -10 = -32. Subtract -10 from both sides: 8x = -22. So, x = $-22/8$. Simplified, x = $-11/4$.",medium,latex
Q093,Algebra,Solve for x: 7x + -20 = -6,x = 2,correct,Given: 7x + -20 = -6. Subtract -20 from both sides: 7x = 14. Then divide by 7: x = 2.,medium,latex
Q094,Algebra,Solve for x: x^2 + 4x - 12 = 0,x = -6 or x = 2,correct,"The equation is $x^2 - (-4)x + (-12) = 0$. Factor it as $(x - -6)(x - 2) = 0$. So, the solutions are $x = -6$ or $x = 2$.",medium,latex
Q095,Algebra,Solve for x: x^2 - 3x - 18 = 0,x = -3 or x = 6,correct,"The equation is $x^2 - (3)x + (-18) = 0$. Factor it as $(x - 6)(x - -3) = 0$. So, the solutions are $x = 6$ or $x = -3$.",medium,latex
Q096,Algebra,Solve for x: 1x + -8 = 1,x = 9,correct,Given: 1x + -8 = 1. Subtract -8 from both sides: 1x = 9. Then divide by 1: x = 9.,medium,latex
Q097,Word Problems,Lisa baked 18 marbles. They gave 13 marbles to friend and then baked 3 more. How many marbles does Lisa have now?,8,correct,Step 1: 18 - 13 = 5. Step 2: 5 + 3 = 8 marbles.,medium,markdown
Q098,Arithmetic,What is 13 * 18?,234,correct,13 * 18 = 234.,medium,markdown
Q099,Word Problems,There are 10 boxes. Each box contains 15 apples. How many apples are there in total?,150,correct,"To find the total, multiply: 10 * 15 = 150 apples.",medium,markdown
Q100,Algebra,Solve for x: 1x + -5 = 5,x = 10,correct,Given: 1x + -5 = 5. Subtract -5 from both sides: 1x = 10. Then divide by 1: x = 10.,medium,latex
Q101,Word Problems,Lisa baked 21 cookies. They gave 7 cookies to sister and then baked 7 more. How many cookies does Lisa have now?,21,correct,Step 1: 21 - 7 = 14. Step 2: 14 + 7 = 21 cookies.,medium,markdown
Q102,Algebra,Solve for x: 15x + -21 = -24,x = -1/5,correct,"Given: 15x + -21 = -24. Subtract -21 from both sides: 15x = -3. So, x = $-3/15$. Simplified, x = $-1/5$.",medium,latex
Q103,Algebra,Solve for x: x^2 - 6x - 16 = 0,x = -2 or x = 8,correct,"The equation is $x^2 - (6)x + (-16) = 0$. Factor it as $(x - -2)(x - 8) = 0$. So, the solutions are $x = -2$ or $x = 8$.",medium,latex
Q104,Word Problems,There are 9 boxes. Each box contains 17 pencils. How many pencils are there in total?,153,correct,"To find the total, multiply: 9 * 17 = 153 pencils.",medium,markdown
Q105,Word Problems,John baked 12 cookies. They gave 8 cookies to sister and then baked 10 more. How many cookies does John have now?,14,correct,Step 1: 12 - 8 = 4. Step 2: 4 + 10 = 14 cookies.,medium,markdown
Q106,Algebra,Solve for x: 5x + -16 = 49,x = 13,correct,Given: 5x + -16 = 49. Subtract -16 from both sides: 5x = 65. Then divide by 5: x = 13.,medium,latex
Q107,Algebra,Solve for x: x^2 - 8x + 15 = 0,x = 3 or x = 5,correct,"The equation is $x^2 - (8)x + (15) = 0$. Factor it as $(x - 3)(x - 5) = 0$. So, the solutions are $x = 3$ or $x = 5$.",medium,latex
Q108,Algebra,Solve for x: x^2 - 7x - 8 = 0,x = -1 or x = 8,correct,"The equation is $x^2 - (7)x + (-8) = 0$. Factor it as $(x - 8)(x - -1) = 0$. So, the solutions are $x = 8$ or $x = -1$.",medium,latex
Q109,Word Problems,There are 5 boxes. Each box contains 19 marbles. How many marbles are there in total?,95,correct,"To find the total, multiply: 5 * 19 = 95 marbles.",medium,markdown
Q110,Geometry,What is the volume of a cube with an edge length of 9 feet?,729 feet^3,correct,"The volume of a cube is $V = s^3$. So, Volume = $9^3 = 729$ feet$^3$.",medium,markdown
Q111,Arithmetic,Calculate: 17 + 8 * 7,175,correct,Calculating step-by-step: 17 + 8 = 25. Then 25 * 7 = 175.,medium,markdown
Q112,Algebra,Solve for x: x^2 - 10x + 16 = 0,x = 2 or x = 8,correct,"The equation is $x^2 - (10)x + (16) = 0$. Factor it as $(x - 2)(x - 8) = 0$. So, the solutions are $x = 2$ or $x = 8$.",medium,latex
Q113,Word Problems,Mike baked 18 apples. They gave 13 apples to brother and then baked 6 more. How many apples does Mike have now?,11,correct,Step 1: 18 - 13 = 5. Step 2: 5 + 6 = 11 apples.,medium,markdown
Q114,Word Problems,Tom baked 17 marbles. They gave 14 marbles to brother and then baked 4 more. How many marbles does Tom have now?,7,correct,Step 1: 17 - 14 = 3. Step 2: 3 + 4 = 7 marbles.,medium,markdown
Q115,Arithmetic,What is 24 / 12?,2,correct,24 / 12 = 2.,easy,markdown
Q116,Geometry,What is the area of a circle with radius 8 mm? (Use 'pi' in your answer),64pi mm^2,correct,"The area of a circle is $A = \pi r^2$. So, Area = $\pi \times 8^2 = 64\pi$ mm$^2$.",medium,markdown
Q117,Geometry,A square has a side length of 22 units. What is its perimeter?,88 units,correct,"The perimeter of a square is $P = 4s$. So, Perimeter = $4 \times 22 = 88$ units.",medium,markdown
Q118,Algebra,Solve for x: 7x + 17 = 13,x = -4/7,correct,"Given: 7x + 17 = 13. Subtract 17 from both sides: 7x = -4. So, x = $-4/7$. Simplified, x = $-4/7$.",medium,latex
Q119,Algebra,Solve for x: x^2 - 16 = 0,x = -4 or x = 4,correct,"The equation is $x^2 - (0)x + (-16) = 0$. Factor it as $(x - 4)(x - -4) = 0$. So, the solutions are $x = 4$ or $x = -4$.",medium,latex
Q120,Geometry,Find the area of a triangle with a base of 20 cm and a height of 12 cm.,120 cm^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 20 \times 12 = 120 cm^2$.",medium,markdown
Q121,Algebra,Solve for x: x^2 + 8x + 15 = 0,x = -5 or x = -3,correct,"The equation is $x^2 - (-8)x + (15) = 0$. Factor it as $(x - -5)(x - -3) = 0$. So, the solutions are $x = -5$ or $x = -3$.",medium,latex
Q122,Geometry,Calculate the circumference of a circle with radius 11 inches. (Use 'pi' in your answer),22pi inches,correct,"The circumference of a circle is $C = 2 \pi r$. So, Circumference = $2 \times \pi \times 11 = 22\pi$ inches.",medium,markdown
Q123,Geometry,A square has a side length of 17 feet. What is its perimeter?,68 feet,correct,"The perimeter of a square is $P = 4s$. So, Perimeter = $4 \times 17 = 68$ feet.",medium,markdown
Q124,Word Problems,Emily has 80 apples to share equally among 10 people. How many apples does each person get?,8,correct,"To share equally, divide: 80 / 10 = 8 apples each.",medium,markdown
Q125,Arithmetic,Calculate: 19 - 6 * 10,130,correct,Calculating step-by-step: 19 - 6 = 13. Then 13 * 10 = 130.,medium,markdown
Q126,Geometry,A square has a side length of 21 mm. What is its perimeter?,84 mm,correct,"The perimeter of a square is $P = 4s$. So, Perimeter = $4 \times 21 = 84$ mm.",medium,markdown
Q127,Algebra,Solve for x: x^2 + 7x + 6 = 0,x = -6 or x = -1,correct,"The equation is $x^2 - (-7)x + (6) = 0$. Factor it as $(x - -6)(x - -1) = 0$. So, the solutions are $x = -6$ or $x = -1$.",medium,latex
Q128,Word Problems,There are 8 boxes. Each box contains 6 books. How many books are there in total?,48,correct,"To find the total, multiply: 8 * 6 = 48 books.",medium,markdown
Q129,Geometry,Calculate the circumference of a circle with radius 12 units. (Use 'pi' in your answer),24pi units,correct,"The circumference of a circle is $C = 2 \pi r$. So, Circumference = $2 \times \pi \times 12 = 24\pi$ units.",medium,markdown
Q130,Word Problems,There are 8 boxes. Each box contains 18 bananas. How many bananas are there in total?,144,correct,"To find the total, multiply: 8 * 18 = 144 bananas.",medium,markdown
Q131,Arithmetic,What is 25% of 223?,55,correct,25% of 223 is $(25/100) \times 223 = 55$.,medium,markdown
Q132,Arithmetic,Calculate: 8 + 6 * 4,56,correct,Calculating step-by-step: 8 + 6 = 14. Then 14 * 4 = 56.,medium,markdown
Q133,Arithmetic,What is 2 - 79?,-77,correct,2 - 79 = -77.,medium,markdown
Q134,Geometry,Find the area of a triangle with a base of 21 inches and a height of 13 inches.,136.5 inches^2,correct,"The area of a triangle is $A = \frac{1}{2}bh$. So, Area = $\frac{1}{2} \times 21 \times 13 = 136.5 inches^2$.",medium,markdown
Q135,Word Problems,Tom baked 18 bananas. They gave 5 bananas to sister and then baked 6 more. How many bananas does Tom have now?,19,correct,Step 1: 18 - 5 = 13. Step 2: 13 + 6 = 19 bananas.,medium,markdown
Q136,Word Problems,There are 10 boxes. Each box contains 8 pencils. How many pencils are there in total?,80,correct,"To find the total, multiply: 10 * 8 = 80 pencils.",medium,markdown
Q137,Word Problems,There are 10 boxes. Each box contains 16 marbles. How many marbles are there in total?,160,correct,"To find the total, multiply: 10 * 16 = 160 marbles.",medium,markdown
Q138,Algebra,Solve for x: 8x + 1 = -23,x = -3,correct,Given: 8x + 1 = -23. Subtract 1 from both sides: 8x = -24. Then divide by 8: x = -3.,medium,latex
Q139,Algebra,Solve for x: x^2 + 2x - 24 = 0,x = -6 or x = 4,correct,"The equation is $x^2 - (-2)x + (-24) = 0$. Factor it as $(x - -6)(x - 4) = 0$. So, the solutions are $x = -6$ or $x = 4$.",medium,latex
Q140,Geometry,Calculate the circumference of a circle with radius 10 m. (Use 'pi' in your answer),20pi m,correct,"The circumference of a circle is $C = 2 \pi r$. So, Circumference = $2 \times \pi \times 10 = 20\pi$ m.",medium,markdown
Q141,Word Problems,John baked 13 books. They gave 7 books to friend and then baked 6 more. How many books does John have now?,12,correct,Step 1: 13 - 7 = 6. Step 2: 6 + 6 = 12 books.,medium,markdown
